gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
FBXL7|23194,3658,3439,3082,2546,5284,1642
FBXL8|55336,128,187,69,233,229,359
FBXO10|26267,913,988,817,756,1043,765
FBXO11|80204,8103,7202,9363,10251,7160,8293
FBXO15|201456,144,152,264,449,580,827
FBXO16|157574,2,0,5,166,567,779
FBXO17|115290,3152,1555,1659,1272,661,351
FBXO18|84893,7412,7558,5400,8827,7350,10127
FBXO21|23014,3520,3400,3141,9071,5889,6674
FBXO22OS|692224,104,81,71,1026,252,172
FBXO22|26263,1280,1337,1013,14212,3142,2440
FBXO24|26261,45,61,57,189,125,83
FBXO25|26260,3526,2569,2745,2119,3385,3590
FBXO27|126433,3081,2337,2887,1516,1126,697
FBXO28|23219,4547,4044,4303,5247,9970,12047
FBXO2|26232,89,18,25,4657,1243,508
FBXO30|84085,1782,2432,1751,2083,2188,2302
FBXO31|79791,5409,4271,2498,4595,2666,1223
FBXO32|114907,1589,1213,788,1745,5023,3033
FBXO33|254170,2322,1714,1897,1629,1534,996
FBXO34|55030,2114,2354,1508,4168,4324,3999
FBXO36|130888,562,387,496,967,1008,4011
FBXO38|81545,3845,3329,3106,4575,6523,4486
FBXO39|162517,2,38,39,10,17,10
FBXO3|26273,4021,3009,3635,4969,3866,5691
FBXO40|51725,58,51,318,74,48,51
FBXO41|150726,206,298,160,2369,927,1924
FBXO42|54455,2652,2216,1910,3228,3309,3127
FBXO43|286151,90,158,88,202,138,221
FBXO44|93611,1094,823,649,3329,1834,1367
FBXO45|200933,1305,1565,1236,3312,4078,2657
FBXO46|23403,640,885,522,1840,4131,3208
FBXO47|494188,6,0,2,0,0,1
FBXO48|554251,281,243,242,289,143,368
FBXO4|26272,870,1015,1061,915,1864,2278
FBXO5|26271,321,579,299,847,758,535
FBXO6|26270,1037,1003,657,2311,1553,1951
FBXO7|25793,12530,10388,8886,14064,6900,8974
FBXO8|26269,3383,2432,2263,2856,2897,2385
FBXO9|26268,6711,4998,7230,5976,6532,8871
FBXW10|10517,41,23,7,14,24,52
FBXW11|23291,7207,5433,5892,7435,8430,6115
FBXW12|285231,0,0,1,0,7,16
FBXW2|26190,10333,8792,8499,6696,12880,10975
FBXW4|6468,8644,5297,4099,8301,7713,8403
FBXW5|54461,8539,6471,3883,3771,8285,6069
FBXW7|55294,4366,2762,1989,2454,1560,1550
FBXW8|26259,1703,1224,1272,3802,2966,3703
FBXW9|84261,303,363,121,1150,2289,1033
FCAMR|83953,10,0,0,2,2,2
FCAR|2204,362,278,337,648,434,464
FCER1A|2205,684,1020,138,89,611,272
FCER1G|2207,3443,9293,1488,1034,5938,843
FCER2|2208,176,269,182,146,141,108
FCF1|51077,4913,3802,3428,5044,7269,5090
FCGBP|8857,3313,1445,156,725,10189,17902
FCGR1A|2209,145,251,41,321,714,380
FCGR1B|2210,129,166,48,145,307,270
FCGR1C|100132417,35,95,15,100,152,98
FCGR2A|2212,5274,13979,2533,2111,4298,1905
FCGR2B|2213,4464,4113,2868,465,2296,151
FCGR2C|9103,928,996,680,215,386,190
FCGR3A|2214,2455,17851,684,2490,8466,2514
FCGR3B|2215,2081,477,131,213,148,63
FCGRT|2217,22501,36522,9819,42120,16228,4989
FCHO1|23149,148,127,59,144,232,61
FCHO2|115548,3837,4854,4601,3140,6185,5317
FCHSD1|89848,768,885,383,1794,894,1117
FCHSD2|9873,4856,5137,4976,3972,3330,2930
FCN1|2219,729,1304,190,56,147,18
FCN2|2220,26,128,157,98,172,91
FCN3|8547,224,472,141,133,151,73
FCRL1|115350,10,7,4,10,4,6
FCRL2|79368,63,55,52,121,69,97
FCRL3|115352,62,33,13,17,14,3
FCRL4|83417,0,0,0,2,4,22
FCRL5|83416,24,12,26,36,31,9
FCRL6|343413,98,94,38,15,51,25
FCRLA|84824,17,0,4,19,42,13
FCRLB|127943,31,90,45,1300,59,142
FDFT1|2222,13972,11948,10662,8498,12996,17840
FDPSL2A|619190,293,261,326,545,419,399
FDPS|2224,5864,5401,3709,4745,14945,10372
FDX1L|112812,694,681,256,937,1674,631
FDX1|2230,2307,1592,1478,2929,2581,2353
FDXACB1|91893,297,400,240,735,1156,1286
FDXR|2232,442,407,214,754,1495,621
FECH|2235,3151,2872,3414,6524,4379,5796
FEM1A|55527,2226,1998,1338,7188,4918,3809
FEM1B|10116,6825,7531,7003,72933,12025,10926
FEM1C|56929,3897,4983,4138,3201,8453,5149
FEN1|2237,1198,1213,444,1797,3064,2320
FER1L4|80307,127,101,102,4649,234,359
FER1L5|90342,65,59,62,126,134,400
FER1L6|654463,12,2,4,1930,3,4
FERD3L|222894,0,0,0,0,1,0
FERMT1|55612,188,220,194,1438,263,191
FERMT2|10979,41050,26648,29551,4619,6579,2758
FERMT3|83706,2279,3837,501,590,3472,553
FER|2241,1196,765,1010,906,707,763
FES|2242,2047,2872,1047,441,1088,1761
FETUB|26998,0,10,0,6,2,1
FEV|54738,0,0,0,0,2,0
FEZ1|9638,2324,2513,857,468,727,337
FEZ2|9637,9904,8553,7564,3720,5309,4430
FEZF1|389549,6,0,1,5,6,1
FEZF2|55079,0,0,0,0,3,0
FFAR1|2864,2,0,0,0,1,0
FFAR2|2867,373,335,297,775,138,106
FFAR3|2865,106,223,17,13,50,0
FGA|2243,4,0,0,12,1,0
FGB|2244,0,0,0,0,187,0
FGD1|2245,1102,1409,528,3243,1227,754
FGD2|221472,934,1701,517,264,594,202
FGD3|89846,596,988,196,447,4321,21503
FGD4|121512,4304,3766,4718,2620,1423,1638
FGD5|152273,8980,10742,5487,1898,3088,9077
FGD6|55785,1179,1232,920,1527,2185,5565
FGF10|2255,572,296,456,33,149,85
FGF11|2256,1049,290,156,88,257,1289
FGF12|2257,198,173,386,203,108,28
FGF13|2258,1942,1672,1596,1044,831,927
FGF14|2259,667,727,309,405,1131,344
FGF16|8823,119,162,36,8,19,0
FGF17|8822,19,0,6,0,2,3
FGF18|8817,115,367,50,918,210,32
FGF19|9965,16,12,1,65,20,0
FGF1|2246,5768,940,1946,1785,1304,690
FGF20|26281,4,21,0,0,10,12
FGF21|26291,0,1,1,5,4,1
FGF22|27006,3,3,0,15,3,0
FGF23|8074,0,2,0,0,0,0
FGF2|2247,10047,6962,13889,374,1586,9455
FGF3|2248,0,0,0,4,2,0
FGF4|2249,0,0,0,0,0,0
FGF5|2250,315,282,367,611,434,874
FGF6|2251,0,0,0,0,0,0
FGF7|2252,3721,3842,3796,721,1359,243
FGF8|2253,3,7,21,0,1,0
FGF9|2254,92,50,69,420,41,4
FGFBP1|9982,174,173,16,563,6,2
FGFBP2|83888,2030,3361,888,68,501,2
FGFBP3|143282,141,106,52,180,52,128
FGFR1OP2|26127,2461,2780,2541,2526,2011,2270
FGFR1OP|11116,562,488,485,1559,1724,2172
FGFR1|2260,37635,27616,21700,155215,6483,4071
FGFR2|2263,1443,350,722,806,4050,27814
FGFR3|2261,223,266,97,2506,1355,4545
FGFR4|2264,29,10,8,5321,293,95
FGFRL1|53834,4342,4656,8532,3407,2691,2985
FGGY|55277,734,787,737,825,1241,1198
FGG|2266,42,14,0,31,10,0
FGL1|2267,0,1,0,3,8,2
FGL2|10875,13788,9868,5064,1087,2662,1161
FGR|2268,1795,2834,509,377,3388,278
FHAD1|114827,134,89,106,398,346,502
FHDC1|85462,379,1366,394,2355,1761,3937
FHIT|2272,617,469,456,589,1162,1273
FHL1|2273,321548,184193,143146,5176,11221,1128
FHL2|2274,926,1559,1672,1779,2619,1478
FHL3|2275,672,1455,558,1431,1813,662
FHL5|9457,799,1392,1462,128,216,70
FHOD1|29109,2621,3219,4324,2708,1893,2001
FHOD3|80206,480,1244,1846,1813,1081,725
FH|2271,7383,6156,7867,7791,14161,12744
FIBCD1|84929,16,3,2,937,21,98
FIBIN|387758,2599,2717,2095,1552,2960,1058
FIBP|9158,3062,3488,1546,5773,7082,5716
FICD|11153,485,330,259,530,445,1013
FIG4|9896,2773,2682,1924,5605,3870,3271
FIGF|2277,3150,3865,2900,176,292,25
FIGLA|344018,3,0,5,2,4,2
FIGNL1|63979,699,788,581,1857,2410,3544
FIGNL2|401720,110,192,54,40,93,110
FIGN|55137,1334,794,1331,58,88,37
FILIP1L|11259,17921,12443,11004,5294,2333,1820
FILIP1|27145,1636,1666,1789,564,267,285
FIP1L1|81608,3069,2545,1891,5805,4051,5176
FIS1|51024,9572,6922,3089,9803,12352,2863
FITM1|161247,18,10,11,28,31,31
FITM2|128486,791,606,712,191,410,584
FIZ1|84922,984,1165,703,1991,3018,2083
FJX1|24147,101,170,90,590,621,206
FKBP10|60681,4453,10506,2062,26032,15505,11920
FKBP11|51303,665,1262,540,1312,3380,2364
FKBP14|55033,1495,1674,1100,1652,1722,2348
FKBP15|23307,5692,7554,3535,3937,8635,8026
FKBP1AP1|2282,111,56,97,134,97,117
FKBP1A|2280,23890,29041,19841,19270,28798,12094
FKBP1B|2281,167,238,106,457,195,110
FKBP2|2286,3159,2668,399,6146,5007,3445
FKBP3|2287,4049,4440,2985,5428,10373,5743
FKBP4|2288,4580,6439,2723,46713,31138,34586
FKBP5|2289,28060,22023,28602,2702,5456,7912
FKBP6|8468,7,3,10,10,9,13
FKBP7|51661,1385,1552,1183,855,1516,1005
FKBP8|23770,20952,16488,5966,13492,27126,12194
FKBP9L|360132,2519,2427,1240,1774,2235,1026
FKBP9|11328,26924,23070,12408,16763,18697,10988
FKBPL|63943,387,416,136,393,1096,901
FKRP|79147,1106,1007,580,1093,1260,1220
FKSG29|100131561,3,0,0,5,0,0
FKSG73|440888,0,0,0,4,2,0
FKSG83|83954,0,0,2,0,0,0
FKTN|2218,2040,1923,2230,3597,5416,3789
FLAD1|80308,3259,2580,2031,3662,7620,5995
FLCN|201163,3095,3240,2850,5979,2715,3303
FLG2|388698,72,69,59,127,86,83
FLG|2312,190,200,210,72,49,43
FLI1|2313,4953,6331,4264,1228,1730,698
FLII|2314,17120,16423,8387,27974,24885,14198
FLJ10038|55056,1511,1614,1603,397,890,1738
FLJ10213|55096,66,60,131,158,123,111
FLJ10357|55701,18413,12684,7017,4173,5622,3009
FLJ10661|286042,77,57,87,193,253,295
FLJ11235|54508,110,93,63,27,200,185
FLJ12825|440101,66,83,79,146,177,154
FLJ13197|79667,402,414,459,489,499,490
FLJ13224|79857,5,0,0,16,2,6
FLJ14107|80094,46,40,73,77,58,71
FLJ16779|100192386,2,8,0,14,34,86
FLJ22536|401237,178,74,126,198,176,188
FLJ23867|200058,874,616,267,4815,6976,4197
FLJ25328|148231,0,0,1,0,0,2
FLJ25363|401082,6,3,11,10,23,13
FLJ25758|497049,0,0,0,0,0,0
FLJ26850|400710,0,7,4,12,23,22
FLJ30679|146512,11,10,13,13,13,26
FLJ32063|150538,0,0,0,116,0,1
FLJ33360|401172,55,31,61,54,37,128
FLJ33630|644873,1850,2034,1700,1792,4277,3703
FLJ34503|285759,6,12,31,0,0,39
FLJ35024|401491,867,259,149,151,180,117
FLJ35220|284131,513,501,430,561,1436,2727
FLJ35390|255031,434,353,278,434,409,583
FLJ35776|649446,511,577,196,827,451,564
FLJ36000|284124,2,13,1,22,30,16
FLJ36031|168455,1900,1561,1244,715,1617,402
FLJ36777|730971,108,123,153,111,84,95
FLJ37201|283011,4,46,38,30,68,56
FLJ37307|283521,27,10,27,37,29,27
FLJ37453|729614,364,445,222,539,293,428
FLJ37543|285668,297,56,53,130,58,96
FLJ39582|439931,46,197,288,91,161,275
FLJ39609|100130417,5,2,2,429,8,23
FLJ39653|202020,327,418,250,622,676,405
FLJ39739|388685,510,352,434,380,232,852
FLJ40292|643210,3,0,0,6,4,6
FLJ40330|645784,281,315,362,622,391,510
FLJ40434|163742,0,0,0,0,0,0
FLJ40504|284085,4,5,0,7,4,9
FLJ40852|285962,231,133,170,337,316,159
FLJ41941|100192420,45,32,41,90,43,54
FLJ42289|388182,114,105,98,46,56,186
FLJ42393|401105,8,0,2,8,9,5
FLJ42627|645644,956,1123,878,4234,1745,1259
FLJ42709|441094,724,1005,847,474,478,252
FLJ42875|440556,113,151,105,39,16,27
FLJ43390|646113,7,0,8,4,2,0
FLJ43663|378805,709,490,708,530,414,206
FLJ43859|389761,0,1,0,5,2,1
FLJ43860|389690,3,0,1,4,3,5
FLJ43950|347127,0,0,1,6,0,0
FLJ44054|643365,0,0,2,6,2,0
FLJ44082|389762,0,0,1,2,0,0
FLJ44606|401207,190,224,238,535,495,494
FLJ44635|392490,439,564,857,605,521,262
FLJ45079|400624,0,0,0,2,1,2
FLJ45244|400242,296,327,333,589,494,445
FLJ45340|402483,4323,6785,5082,11596,6841,3159
FLJ45445|399844,535,1059,211,1345,1307,1964
FLJ45983|399717,6,4,6,129,764,1607
FLJ46111|283102,3,3,2,36,33,104
FLJ46321|389763,0,0,0,0,1,0
FLJ46361|375940,41,30,42,81,86,66
FLJ90757|440465,1364,1780,595,1988,4084,3417
FLNA|2316,130679,113502,41189,51310,84430,36224
FLNB|2317,21748,30720,19214,125127,141658,127901
FLNC|2318,3396,12009,1410,1101,1483,462
FLOT1|10211,14001,13428,6503,10059,18602,22186
FLOT2|2319,9289,10872,5636,13065,9705,6415
FLRT1|23769,28,28,38,73,102,46
FLRT2|23768,5885,7572,3813,984,2149,630
FLRT3|23767,70,172,63,77,977,1497
FLT1|2321,13052,11904,11801,7437,3858,4024
FLT3LG|2323,504,515,229,139,446,137
FLT3|2322,132,179,13,1305,72,1319
FLT4|2324,2151,3837,2460,1267,950,941
FLVCR1|28982,215,293,262,1218,1940,1642
FLVCR2|55640,400,1266,813,275,798,498
FLYWCH1|84256,2471,2724,1106,2967,3381,2792
FLYWCH2|114984,1036,1089,417,1995,3482,2181
FMN1|342184,155,216,72,580,571,1051
FMN2|56776,52,51,51,85,915,7
FMNL1|752,4791,4225,818,1040,2283,1626
FMNL2|114793,9872,7690,7497,2610,1754,1169
FMNL3|91010,4429,5277,4693,5110,4108,3454
FMO1|2326,1231,640,455,516,466,50
FMO2|2327,13243,35522,46252,907,2816,335
FMO3|2328,456,791,770,129,152,79
FMO4|2329,960,838,861,755,623,954
FMO5|2330,431,581,443,169,3379,18854
FMO6P|388714,6,17,19,1,6,0
FMO9P|116123,0,0,0,0,13,6
FMOD|2331,85510,34990,30106,4953,18636,19363
FMR1NB|158521,0,0,0,2,0,0
FMR1|2332,3380,3986,4238,6868,3447,4377
FN1|2335,81297,303613,61210,656927,531000,258949
FN3KRP|79672,4391,4049,2680,2660,6109,4151
FN3K|64122,1432,1224,1045,1166,2944,1956
FNBP1L|54874,5779,3700,6918,15482,16376,15842
FNBP1|23048,5255,7029,3867,4881,8489,6189
FNBP4|23360,3741,3825,4500,9719,4302,6828
FNDC1|84624,7968,14770,5752,4753,9854,3509
FNDC3A|22862,6562,7748,7145,6301,9184,13715
FNDC3B|64778,17325,14501,14149,7624,15249,11892
FNDC4|64838,3070,3943,1949,512,1046,222
FNDC5|252995,483,891,319,247,150,133
FNDC7|163479,0,0,0,4,0,2
FNDC8|54752,51,33,26,29,91,95
FNIP1|96459,5027,4131,4321,6297,7303,6405
FNIP2|57600,7226,5008,8335,3218,2915,716
FNTA|2339,9258,7709,7532,3054,6441,5389
FNTB|2342,3524,2592,2080,2652,6478,4385
FOLH1B|219595,12,32,6,10,18,10
FOLH1|2346,61,241,203,254,155,124
FOLR1|2348,74,7,1,249,266,18
FOLR2|2350,7941,18598,3629,573,2120,68
FOLR3|2352,17,15,11,2,7,4
FOLR4|390243,2,0,0,0,0,1
FOSB|2354,108724,30431,45426,1389,2159,1207
FOSL1|8061,207,282,144,186,80,58
FOSL2|2355,10713,8196,5210,19455,6410,9051
FOS|2353,194419,67587,94780,2361,9021,4972
FOXA1|3169,161,42,24,34946,38815,38076
FOXA2|3170,6,0,0,2,3,0
FOXA3|3171,2,0,4,68,6,48
FOXB1|27023,0,0,0,0,0,0
FOXB2|442425,0,0,0,0,0,1
FOXC1|2296,1422,1149,1304,1461,376,216
FOXC2|2303,28,36,11,54,45,30
FOXD1|2297,34,19,20,26,7,10
FOXD2|2306,64,74,45,104,539,645
FOXD3|27022,11,6,2,0,22,71
FOXD4L1|200350,8,5,3,30,19,20
FOXD4L2|100036519,15,21,43,74,90,61
FOXD4L3|286380,0,4,2,17,18,18
FOXD4L5|653427,7,13,23,32,28,29
FOXD4L6|653404,8,0,10,21,33,15
FOXD4|2298,10,7,26,34,82,100
FOXE1|2304,51,41,4,170,16,8
FOXE3|2301,10,2,0,4,9,11
FOXF1|2294,64,81,53,78,29,8
FOXF2|2295,103,411,130,239,365,129
FOXG1|2290,0,0,0,0,0,1
FOXH1|8928,38,17,31,807,110,90
FOXI1|2299,79,2,5,1657,1622,3233
FOXI2|399823,83,45,43,12,6,8
FOXI3|344167,0,0,0,76,1,3
FOXJ1|2302,18,2,3,11,1863,56
FOXJ2|55810,5220,4066,4735,9617,4268,3966
FOXJ3|22887,8419,6022,7113,11189,7248,9046
FOXK1|221937,4796,4538,3646,14796,7902,3827
FOXK2|3607,3429,3854,2114,5709,5249,4559
FOXL1|2300,25,62,47,112,70,55
FOXL2|668,4,2,0,4,12,3
FOXM1|2305,203,1702,76,1093,1915,1278
FOXN1|8456,2,2,0,71,12,102
FOXN2|3344,4057,3208,8600,1950,978,327
FOXN3|1112,45623,21797,21879,6863,7126,2271
FOXN4|121643,4,13,28,4,19,2
FOXO1|2308,13117,6653,19351,3236,3140,2129
FOXO3B|2310,1075,913,891,1596,1045,915
FOXO3|2309,13366,10665,11823,12299,12769,11254
FOXO4|4303,6053,3992,2411,1672,2462,1732
FOXP1|27086,6907,8219,5231,7546,22228,14603
FOXP2|93986,882,580,682,68,109,40
FOXP3|50943,46,46,13,127,184,113
FOXP4|116113,6688,3940,3967,11943,6844,6210
FOXQ1|94234,25,80,0,190,129,27
FOXR1|283150,9,1,1,12,6,2
FOXR2|139628,0,0,0,0,0,0
FOXRED1|55572,1520,1598,1063,2518,2657,1265
FOXRED2|80020,1724,2707,1882,6111,3346,5990
FOXS1|2307,68,93,136,194,220,190
FPGS|2356,4219,4397,3250,2614,5081,3592
FPGT|8790,1494,1734,1960,2104,3219,5357
FPR1|2357,1252,1239,150,251,289,156
FPR2|2358,191,69,24,10,18,1
FPR3|2359,3462,7063,1029,1076,3025,380
FRAS1|80144,225,351,196,3124,701,170
FRAT1|10023,617,913,209,936,725,725
FRAT2|23401,563,822,381,2106,1683,1259
FREM1|158326,6139,2595,2086,149,284,97
FREM2|341640,115,125,183,4586,1466,44
FRG1B|284802,2950,2735,2063,1554,2254,2299
FRG1|2483,4847,4390,2927,3387,3450,2938
FRG2B|441581,0,0,0,0,0,7
FRG2C|100288801,11,9,11,21,8,51
FRG2|448831,12,3,11,24,12,20
FRK|2444,158,190,136,763,767,1833
FRMD1|79981,1479,784,661,28,44,23
FRMD3|257019,949,743,1206,79,301,241
FRMD4A|55691,14474,11134,14176,5322,3763,2810
FRMD4B|23150,2386,4000,1863,2992,3536,2296
FRMD5|84978,8,0,0,145,16,24
FRMD6|122786,3295,10764,3949,4417,20437,24180
FRMD7|90167,10,7,8,7,16,8
FRMD8|83786,2340,2895,1592,5443,5170,5123
FRMPD1|22844,100,247,347,158,64,128
FRMPD2L1|728798,0,0,7,2,0,35
FRMPD2|143162,2,0,15,5,22,186
FRMPD4|9758,48,16,33,3,5,3
FRRS1|391059,618,819,545,807,1248,657
FRS2|10818,3565,3477,5235,7586,8701,21453
FRS3|10817,493,385,261,373,322,302
FRYL|285527,8229,7354,8153,9058,5278,12571
FRY|10129,6400,4159,5909,4146,4284,6682
FRZB|2487,527,637,1020,1262,1728,1110
FSCB|84075,0,0,0,10,0,0
FSCN1|6624,3293,6996,2170,3671,4588,1947
FSCN2|25794,2,6,7,55,112,267
FSCN3|29999,477,617,253,826,1196,291
FSD1L|83856,191,169,156,374,712,487
FSD1|79187,86,81,76,187,112,106
FSD2|123722,3,0,12,18,3,11
FSHB|2488,0,0,0,0,0,0
FSHR|2492,0,0,2,0,0,0
FSIP1|161835,26,39,16,36,781,2279
FSTL1|11167,158221,409414,91718,29813,52701,21515
FSTL3|10272,15657,3732,848,2643,2194,2613
FSTL4|23105,22,25,6,402,518,301
FSTL5|56884,0,0,0,0,3,1
FST|10468,1193,669,669,222,2616,1343
FTCD|10841,11,0,1,15,10,13
FTH1|2495,492140,426677,138927,184284,453321,240051
FTHL17|53940,0,0,0,0,0,0
FTHL3|2498,1786,1452,691,1272,1638,728
FTLP10|100130017,26,23,19,60,29,39
FTL|2512,680543,861229,185971,84546,570065,50680
FTMT|94033,4,0,0,0,0,0
FTO|79068,10732,6635,7185,6799,4773,11829
FTSJ1|24140,2156,2426,1239,3086,3442,3085
FTSJ2|29960,2243,2267,1676,4294,4598,1583
FTSJ3|117246,5525,4446,2184,5195,6448,4164
FTSJD1|55783,1930,1914,2322,4536,2868,3168
FTSJD2|23070,5771,4730,3842,7096,4871,4511
FUBP1|8880,3887,3624,4348,7236,7903,13126
FUBP3|8939,6096,4604,3722,6797,6541,6598
FUCA1|2517,4971,13984,3377,5343,18707,10210
FUCA2|2519,7631,8284,4369,7705,7755,5724
FUK|197258,867,891,546,3095,1529,1236
FUNDC1|139341,1150,956,775,2876,1934,2826
FUNDC2P2|388965,6,3,6,3,7,9
FUNDC2|65991,9657,6896,5848,4740,7237,4955
FURIN|5045,15015,13424,7345,11986,8625,9129
FUS|2521,10329,9842,5030,28331,40544,23651
FUT10|84750,952,778,674,377,640,856
FUT11|170384,1155,1404,978,842,898,885
FUT1|2523,894,501,685,1826,294,375
FUT2|2524,209,168,191,1747,1898,388
FUT3|2525,45,52,14,139,265,17
FUT4|2526,1387,1741,800,572,761,432
FUT5|2527,878,753,516,1000,1733,626
FUT6|2528,162,150,131,283,610,230
FUT7|2529,45,28,8,13,43,35
FUT8|2530,2769,3115,2119,4803,17743,14326
FUT9|10690,31,16,21,57,2395,1104
FUZ|80199,1384,1289,660,1225,2401,1400
FXC1|26515,4165,2526,2554,6809,5125,5270
FXN|2395,1236,1119,969,1340,1386,1373
FXR1|8087,12137,11576,10724,13467,17210,11886
FXR2|9513,4443,3503,2289,3516,5193,5220
FXYD1|5348,4409,3427,3565,144,599,63
FXYD2|486,104,242,46,46,51,47
FXYD3|5349,4425,4593,39,39661,24721,19378
FXYD4|53828,0,0,0,2,0,2
FXYD5|53827,7346,8097,3429,2714,12933,11158
FXYD6|53826,4155,7228,2723,944,2184,572
FXYD7|53822,9,5,6,5,10,6
FYB|2533,1639,3189,726,845,1942,820
FYCO1|79443,18179,10742,10181,11748,10675,10833
FYN|2534,10857,11301,6615,2036,2161,940
FYTTD1|84248,8671,7822,7083,14903,12397,8732
FZD10|11211,90,119,22,1146,70,48
FZD1|8321,2328,3615,1356,4619,7241,4571
FZD2|2535,120,581,89,287,749,160
FZD3|7976,63,112,83,679,729,823
FZD4|8322,86911,41032,102970,13194,14223,3097
FZD5|7855,3194,1768,2003,1520,560,400
FZD6|8323,2262,2175,2674,16721,2904,3397
FZD7|8324,2383,3287,1908,2491,3520,824
FZD8|8325,632,714,639,505,8625,973
FZD9|8326,110,203,65,524,48,12
FZR1|51343,2294,2381,1135,5085,6272,3439
G0S2|50486,83736,32644,40258,1156,4571,366
G2E3|55632,1079,1368,1489,2029,3326,2761
G3BP1|10146,7774,10354,7236,11002,22982,10953
G3BP2|9908,10623,9383,9049,15605,16206,21498
G6PC2|57818,3,2,10,21,2,19
G6PC3|92579,4688,4249,2649,7231,9689,7019
G6PC|2538,66,42,41,78,68,46
G6PD|2539,5356,7560,3612,6500,5147,3520
GAA|2548,6562,11917,2257,7423,24459,7810
GAB1|2549,3601,4178,5063,4328,4725,4087
GAB2|9846,10899,8209,7585,1776,2358,2986
GAB3|139716,1138,1507,1163,190,527,214
GAB4|128954,0,6,0,0,0,0
GABARAPL1|23710,21227,16907,11787,4618,4548,4127
GABARAPL2|11345,8600,7086,6339,10705,5387,5001
GABARAPL3|23766,20,14,11,10,8,6
GABARAP|11337,31344,33814,23760,13283,49695,27949
GABBR1|2550,1538,1776,2110,5416,3096,2629
GABBR2|9568,8,0,6,58,11,4
GABPA|2551,4445,5593,5987,5218,4771,5359
GABPB1|2553,1325,1248,1402,2191,3117,2508
GABPB2|126626,838,646,651,769,1407,1784
GABRA1|2554,0,0,0,2,1,1
GABRA2|2555,257,369,235,59,30,3
GABRA3|2556,0,5,2,5,2,0
GABRA4|2557,5,2,6,13,12,2
GABRA5|2558,73,62,94,155,89,152
GABRA6|2559,0,0,0,0,0,0
GABRB1|2560,8,6,4,2,20,4
GABRB2|2561,123,701,102,199,149,51
GABRB3|2562,169,400,163,55,104,14
GABRD|2563,10,42,110,1532,198,275
GABRE|2564,5614,5267,13288,182,310,76
GABRG1|2565,26,32,22,2,8,0
GABRG2|2566,0,0,0,4,3,0
GABRG3|2567,0,0,0,39,0,0
GABRP|2568,869,74,7,82,1411,287
GABRQ|55879,0,0,0,0,6,0
GABRR1|2569,2,11,0,133,0,2
GABRR2|2570,19,44,11,25,2,10
GABRR3|200959,0,0,0,0,0,2
GAD1|2571,8,0,23,22,1157,19695
GAD2|2572,0,6,0,0,2,0
GADD45A|1647,2359,2119,1317,1701,1023,1104
GADD45B|4616,6483,9722,3805,12927,4565,1631
GADD45GIP1|90480,2497,2327,386,2012,5217,2009
GADD45G|10912,1020,877,39,327,1329,903
GADL1|339896,6,0,1,2,0,0
GAGE10|643832,0,2,0,2,1,5
GAGE12D|100132399,0,3,0,15,2,3
GAGE12F|100008586,0,0,0,0,0,0
GAGE12J|729396,0,1,0,6,1,1
GAGE13|645051,0,0,0,1,0,1
GAGE1|2543,6,0,1,0,0,0
GAGE2A|729447,4,0,0,5,2,0
GAGE2B|645037,0,0,0,0,0,1
GAGE2C|2574,1,0,0,1,1,2
GAGE2D|729408,0,0,0,0,2,0
GAGE2E|26749,0,0,0,1,0,0
GAGE4|2576,0,0,0,1,0,4
GAGE8|100101629,7,2,0,3,4,1
GAK|2580,4694,4413,2046,15252,8385,8353
GAL3ST1|9514,8,3,10,17,8,8
GAL3ST2|64090,1,0,0,5,6,41
GAL3ST3|89792,0,0,0,0,1,1
GAL3ST4|79690,764,897,551,990,1519,932
GALC|2581,3262,4864,3584,7483,7346,5412
GALE|2582,514,880,262,4973,4164,4377
GALK1|2584,647,1061,223,483,1130,683
GALK2|2585,1653,1593,1281,730,1448,2046
GALM|130589,2359,2813,1354,1523,2849,1268
GALNS|2588,1744,1997,888,3811,1757,1024
GALNT10|55568,4458,6840,3009,5049,28606,15730
GALNT11|63917,5747,5191,4479,10794,8428,3718
GALNT12|79695,1051,1735,568,222,423,82
GALNT13|114805,1026,633,800,57,110,41
GALNT14|79623,93,196,68,179,83,64
GALNT1|2589,8752,8570,5662,11181,19150,14317
GALNT2|2590,9462,9914,4359,6935,20893,13684
GALNT3|2591,233,186,186,2896,21708,147
GALNT4|8693,1157,1510,1131,5196,3311,3754
GALNT5|11227,48,135,32,500,1139,14328
GALNT6|11226,602,932,260,31573,18812,10785
GALNT7|51809,1013,1693,818,5863,35558,26060
GALNT8|26290,10,8,6,5,4,4
GALNT9|50614,13,8,0,143,7,1
GALNTL1|57452,2779,6489,2102,893,4867,396
GALNTL2|117248,22634,22294,11416,1042,3088,732
GALNTL4|374378,1373,926,766,1131,784,717
GALNTL5|168391,0,0,0,0,1,0
GALNTL6|442117,0,8,1,20,35,18
GALP|85569,0,0,0,0,0,0
GALR1|2587,88,8,14,6,1,0
GALR2|8811,2,4,2,8,4,3
GALR3|8484,0,0,0,0,0,5
GALT|2592,1494,1591,1519,1542,954,777
GAL|51083,36,78,16,112,75,6
GAMT|2593,722,662,635,3030,3727,2255
